label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
8985586 [Dev Biol]	R-HSA-8985586	SLIT2:ROBO1 increases RHOA activity	Dev Biol	4	4	1	MYO9B|RHOA|ROBO1|SLIT2	
111463 [Prog Cell Death]	R-HSA-111463	SMAC (DIABLO) binds to IAPs	Prog Cell Death	7	7	1	APAF1|CASP3|CASP7|CASP9|CYCS|DIABLO|XIAP	
111464 [Prog Cell Death]	R-HSA-111464	SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes	Prog Cell Death	7	7	1	APAF1|CASP3|CASP7|CASP9|CYCS|DIABLO|XIAP	
111469 [Prog Cell Death]	R-HSA-111469	SMAC, XIAP-regulated apoptotic response	Prog Cell Death	8	8	1	APAF1|CASP3|CASP7|CASP9|CYCS|DIABLO|SEPT4|XIAP	
3315487 [Disease]	R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer	Disease	3	3	1	SMAD2|SMAD3|SMAD4	
3304356 [Disease]	R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer	Disease	6	6	1	SMAD2|SMAD3|TGFB1|TGFBR1|TGFBR2|ZFYVE9	
2173796 []	R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription		32	32	1	ATP1B4|CCNC|CCNK|CCNT1|CCNT2|CDK8|CDK9|CDKN2B|E2F4|E2F5|HDAC1|JUNB|MEN1|MYC|RBL1|RNF111|RPS27A|SERPINE1|SMAD2|SMAD3|SMAD4|SMAD7|SNW1|SP1|TFDP1|TFDP2|TGIF1|TGIF2|UBA52|UBB|UBC|WWTR1	
3311021 [Disease]	R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer	Disease	3	3	1	SMAD2|SMAD3|SMAD4	
112412 [Sig Transd]	R-HSA-112412	SOS-mediated signalling	Sig Transd	7	7	1	GRB2|HRAS|IRS1|IRS2|KRAS|NRAS|SOS1	
1799339 [Metab Prot]	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	Metab Prot	119	113	0.949579831932773	DDOST|FAU|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPN1|RPN2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|SEC11A|SEC11C|SEC61A1|SEC61A2|SEC61B|SEC61G|SPCS1|SPCS2|SPCS3|SRP14|SRP19|SRP54|SRP68|SRP72|SRP9|SRPRA|SRPRB|SSR1|SSR2|SSR3|SSR4|TRAM1|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA|7SL RNA (ENSG00000222619)|7SL RNA (ENSG00000222639)
3249367 [Imm Sys]	R-HSA-3249367	STAT6-mediated induction of chemokines	Imm Sys	3	3	1	STAT6|TBK1|TMEM173	
1834941 [Imm Sys]	R-HSA-1834941	STING mediated induction of host immune responses	Imm Sys	16	15	0.9375	DDX41|DTX4|IFI16|IRF3|MRE11|NLRC3|NLRP4|PRKDC|STAT6|TBK1|TMEM173|TREX1|TRIM21|XRCC5|XRCC6	CGAS
3108232 [Metab Prot]	R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	Metab Prot	169	168	0.994082840236686	AAAS|AR|AURKA|AURKB|BIRC5|BLM|BMI1|BRCA1|CASP8AP2|CBX2|CBX4|CBX5|CBX8|CDCA8|CDKN2A|CETN2|CHD3|CREBBP|CTBP1|DAXX|DDX17|DDX5|DNMT1|DNMT3A|DNMT3B|EID3|EP300|ESR1|FOXL2|HDAC1|HDAC2|HDAC4|HDAC7|HERC2|HIC1|HIPK2|HIST1H4A|HNRNPC|HNRNPK|IKBKE|IKBKG|INCENP|ING2|L3MBTL2|MBD1|MDC1|MDM2|MITF|MTA1|NCOA1|NCOA2|NCOR2|NDC1|NFKB2|NFKBIA|NOP58|NPM1|NR1H2|NR1H3|NR1H4|NR1I2|NR2C1|NR3C1|NR3C2|NR4A2|NR5A1|NR5A2|NRIP1|NSMCE1|NSMCE2|NSMCE3|NSMCE4A|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PARK7|PARP1|PCGF2|PCNA|PGR|PHC1|PHC2|PHC3|PIAS1|PIAS2|PIAS3|PIAS4|PML|POM121|POM121C|PPARA|PPARG|PPARGC1A|RAD21|RAD52|RAE1|RANBP2|RANGAP1|RARA|RELA|RING1|RNF168|RNF2|RORA|RPA1|RXRA|SAFB|SATB1|SATB2|SCMH1|SEC13|SEH1L|SIN3A|SMC1A|SMC3|SMC5|SMC6|SP100|SP3|STAG1|STAG2|SUMO1|SUMO2|SUMO3|SUZ12|TDG|TFAP2A|TFAP2B|TFAP2C|THRA|THRB|TOP1|TOP2A|TOP2B|TOPORS|TP53|TP53BP1|TPR|TRIM27|TRIM28|UBE2I|UHRF2|VDR|VHL|WRN|XPC|XRCC4|ZBED1|ZNF131|ZNF350	MRTFA
3065676 [Metab Prot]	R-HSA-3065676	SUMO is conjugated to E1 (UBA2:SAE1)	Metab Prot	5	5	1	SAE1|SUMO1|SUMO2|SUMO3|UBA2	
3065679 [Metab Prot]	R-HSA-3065679	SUMO is proteolytically processed	Metab Prot	6	6	1	SENP1|SENP2|SENP5|SUMO1|SUMO2|SUMO3	
3065678 [Metab Prot]	R-HSA-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	Metab Prot	7	7	1	RWDD3|SAE1|SUMO1|SUMO2|SUMO3|UBA2|UBE2I	
2990846 [Metab Prot]	R-HSA-2990846	SUMOylation	Metab Prot	175	174	0.994285714285714	AAAS|AR|AURKA|AURKB|BIRC5|BLM|BMI1|BRCA1|CASP8AP2|CBX2|CBX4|CBX5|CBX8|CDCA8|CDKN2A|CETN2|CHD3|CREBBP|CTBP1|DAXX|DDX17|DDX5|DNMT1|DNMT3A|DNMT3B|EID3|EP300|ESR1|FOXL2|HDAC1|HDAC2|HDAC4|HDAC7|HERC2|HIC1|HIPK2|HIST1H4A|HNRNPC|HNRNPK|IKBKE|IKBKG|INCENP|ING2|L3MBTL2|MBD1|MDC1|MDM2|MITF|MTA1|NCOA1|NCOA2|NCOR2|NDC1|NFKB2|NFKBIA|NOP58|NPM1|NR1H2|NR1H3|NR1H4|NR1I2|NR2C1|NR3C1|NR3C2|NR4A2|NR5A1|NR5A2|NRIP1|NSMCE1|NSMCE2|NSMCE3|NSMCE4A|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PARK7|PARP1|PCGF2|PCNA|PGR|PHC1|PHC2|PHC3|PIAS1|PIAS2|PIAS3|PIAS4|PML|POM121|POM121C|PPARA|PPARG|PPARGC1A|RAD21|RAD52|RAE1|RANBP2|RANGAP1|RARA|RELA|RING1|RNF168|RNF2|RORA|RPA1|RWDD3|RXRA|SAE1|SAFB|SATB1|SATB2|SCMH1|SEC13|SEH1L|SENP1|SENP2|SENP5|SIN3A|SMC1A|SMC3|SMC5|SMC6|SP100|SP3|STAG1|STAG2|SUMO1|SUMO2|SUMO3|SUZ12|TDG|TFAP2A|TFAP2B|TFAP2C|THRA|THRB|TOP1|TOP2A|TOP2B|TOPORS|TP53|TP53BP1|TPR|TRIM27|TRIM28|UBA2|UBE2I|UHRF2|VDR|VHL|WRN|XPC|XRCC4|ZBED1|ZNF131|ZNF350	MRTFA
3108214 [Metab Prot]	R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	Metab Prot	77	77	1	AAAS|BLM|BMI1|BRCA1|CBX2|CBX4|CBX8|CDKN2A|CETN2|EID3|HDAC7|HERC2|MDC1|NDC1|NSMCE1|NSMCE2|NSMCE3|NSMCE4A|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PARP1|PCGF2|PHC1|PHC2|PHC3|PIAS1|PIAS2|PIAS4|PML|POM121|POM121C|RAD21|RAD52|RAE1|RANBP2|RING1|RNF168|RNF2|RPA1|SCMH1|SEC13|SEH1L|SMC1A|SMC3|SMC5|SMC6|SP100|STAG1|STAG2|SUMO1|SUMO2|SUMO3|TDG|TPR|UBE2I|WRN|XPC|XRCC4	
4655427 [Metab Prot]	R-HSA-4655427	SUMOylation of DNA methylation proteins	Metab Prot	16	16	1	BMI1|CBX2|CBX4|CBX8|DNMT1|DNMT3A|DNMT3B|PCGF2|PHC1|PHC2|PHC3|RING1|RNF2|SCMH1|SUMO1|UBE2I	
4615885 [Metab Prot]	R-HSA-4615885	SUMOylation of DNA replication proteins	Metab Prot	46	46	1	AAAS|AURKA|AURKB|BIRC5|CDCA8|INCENP|NDC1|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PCNA|PIAS3|PIAS4|POM121|POM121C|RAE1|RANBP2|RANGAP1|SEC13|SEH1L|SUMO1|SUMO2|SUMO3|TOP1|TOP2A|TOP2B|TPR|UBE2I	
4570464 [Metab Prot]	R-HSA-4570464	SUMOylation of RNA binding proteins	Metab Prot	47	47	1	AAAS|BMI1|CBX2|CBX4|CBX8|HNRNPC|HNRNPK|NDC1|NOP58|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PCGF2|PHC1|PHC2|PHC3|POM121|POM121C|RAE1|RANBP2|RING1|RNF2|SCMH1|SEC13|SEH1L|SUMO1|SUMO2|TPR|UBE2I	
4085377 [Metab Prot]	R-HSA-4085377	SUMOylation of SUMOylation proteins	Metab Prot	35	35	1	AAAS|NDC1|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PIAS4|POM121|POM121C|RAE1|RANBP2|SEC13|SEH1L|SUMO1|SUMO2|TOPORS|TPR|UBE2I	
4551638 [Metab Prot]	R-HSA-4551638	SUMOylation of chromatin organization proteins	Metab Prot	58	58	1	AAAS|BMI1|CBX2|CBX4|CBX5|CBX8|CHD3|HDAC1|HDAC2|HDAC4|HIST1H4A|L3MBTL2|NDC1|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PCGF2|PHC1|PHC2|PHC3|PIAS1|PIAS2|POM121|POM121C|RAE1|RANBP2|RING1|RNF2|SATB1|SATB2|SCMH1|SEC13|SEH1L|SUMO1|SUMO2|SUMO3|SUZ12|TPR|UBE2I|ZBED1	
4755510 [Metab Prot]	R-HSA-4755510	SUMOylation of immune response proteins	Metab Prot	11	11	1	IKBKE|IKBKG|NFKB2|NFKBIA|PIAS3|PIAS4|RELA|SUMO1|SUMO3|TOPORS|UBE2I	
4090294 [Metab Prot]	R-HSA-4090294	SUMOylation of intracellular receptors	Metab Prot	30	30	1	AR|ESR1|HDAC4|NR1H2|NR1H3|NR1H4|NR1I2|NR2C1|NR3C1|NR3C2|NR4A2|NR5A1|NR5A2|PGR|PIAS1|PIAS2|PIAS3|PIAS4|PPARA|PPARG|RARA|RORA|RXRA|SUMO1|SUMO2|SUMO3|THRA|THRB|UBE2I|VDR	
3899300 [Metab Prot]	R-HSA-3899300	SUMOylation of transcription cofactors	Metab Prot	44	43	0.977272727272727	BMI1|CASP8AP2|CBX2|CBX4|CBX8|CREBBP|CTBP1|DAXX|DDX17|DDX5|EP300|HIPK2|ING2|MBD1|NCOA1|NCOA2|NCOR2|NPM1|NRIP1|PARK7|PCGF2|PHC1|PHC2|PHC3|PIAS1|PIAS2|PIAS3|PIAS4|PPARGC1A|RING1|RNF2|SAFB|SCMH1|SIN3A|SUMO1|SUMO2|SUMO3|TOPORS|TRIM28|UBE2I|UHRF2|ZNF131|ZNF350	MRTFA
3232118 [Metab Prot]	R-HSA-3232118	SUMOylation of transcription factors	Metab Prot	20	20	1	CDKN2A|FOXL2|HIC1|MDM2|MITF|MTA1|PIAS1|PIAS2|PIAS3|PIAS4|SP3|SUMO1|SUMO2|SUMO3|TFAP2A|TFAP2B|TFAP2C|TP53|TP53BP1|UBE2I	
3232142 [Metab Prot]	R-HSA-3232142	SUMOylation of ubiquitinylation proteins	Metab Prot	39	39	1	AAAS|MDM2|NDC1|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|NUP210|NUP214|NUP35|NUP37|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|NUP98|NUPL2|PIAS1|PIAS2|PIAS4|PML|POM121|POM121C|RAE1|RANBP2|SEC13|SEH1L|SUMO1|TPR|TRIM27|UBE2I|VHL	
3000480 [Ves-med Transp]	R-HSA-3000480	Scavenging by Class A Receptors	Ves-med Transp	19	18	0.947368421052632	APOA1|APOB|APOE|CALR|COL1A1|COL1A2|COL3A1|COL4A1|COL4A2|COLEC11|COLEC12|FTH1|FTL|HSP90B1|MARCO|MASP1|MSR1|SCARA5	SCGB3A2
3000471 [Ves-med Transp]	R-HSA-3000471	Scavenging by Class B Receptors	Ves-med Transp	6	6	1	APOA1|APOB|CD36|SAA1|SCARB1|SSC5D	
3000484 [Ves-med Transp]	R-HSA-3000484	Scavenging by Class F Receptors	Ves-med Transp	7	6	0.857142857142857	APOB|CALR|HSP90AA1|HSPH1|HYOU1|SCARF1	porB
3000497 [Ves-med Transp]	R-HSA-3000497	Scavenging by Class H Receptors	Ves-med Transp	4	4	1	APOB|SPARC|STAB1|STAB2	
2168880 [Ves-med Transp]	R-HSA-2168880	Scavenging of heme from plasma	Ves-med Transp	92	86	0.934782608695652	ALB|AMBP|APOA1|APOL1|CD163|HBA1|HBB|HP|HPR|HPX|IGHA1|IGHA2|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|JCHAIN|LRP1	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22
2408522 [Metab]	R-HSA-2408522	Selenoamino acid metabolism	Metab	122	118	0.967213114754098	AHCY|AIMP1|AIMP2|CBS|CTH|DARS|EEF1E1|EEFSEC|EPRS|FAU|GNMT|GSR|HNMT|IARS|INMT|KARS|LARS|MARS|MAT1A|NNMT|PAPSS1|PAPSS2|PSTK|QARS|RARS|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|SARS|SCLY|SECISBP2|SEPHS2|SEPSECS|TXNRD1|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA
2408557 [Metab]	R-HSA-2408557	Selenocysteine synthesis	Metab	98	94	0.959183673469388	EEFSEC|FAU|PSTK|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|SARS|SECISBP2|SEPHS2|SEPSECS|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA
399954 [Dev Biol]	R-HSA-399954	Sema3A PAK dependent Axon repulsion	Dev Biol	16	16	1	CFL1|FES|FYN|HSP90AA1|HSP90AB1|LIMK1|NRP1|PAK1|PAK2|PAK3|PLXNA1|PLXNA2|PLXNA3|PLXNA4|RAC1|SEMA3A	
400685 [Dev Biol]	R-HSA-400685	Sema4D in semaphorin signaling	Dev Biol	24	24	1	ARHGAP35|ARHGEF11|ARHGEF12|ERBB2|LIMK1|LIMK2|MET|MYH10|MYH11|MYH14|MYH9|MYL12B|MYL6|MYL9|PLXNB1|RAC1|RHOA|RHOB|RHOC|RND1|ROCK1|ROCK2|RRAS|SEMA4D	
416572 [Dev Biol]	R-HSA-416572	Sema4D induced cell migration and growth-cone collapse	Dev Biol	20	20	1	ARHGEF11|ARHGEF12|ERBB2|LIMK1|LIMK2|MYH10|MYH11|MYH14|MYH9|MYL12B|MYL6|MYL9|PLXNB1|RHOA|RHOB|RHOC|RND1|ROCK1|ROCK2|SEMA4D	
416550 [Dev Biol]	R-HSA-416550	Sema4D mediated inhibition of cell attachment and migration	Dev Biol	8	8	1	ARHGAP35|MET|PLXNB1|RAC1|RHOA|RND1|RRAS|SEMA4D	
373755 [Dev Biol]	R-HSA-373755	Semaphorin interactions	Dev Biol	64	64	1	ARHGAP35|ARHGEF11|ARHGEF12|CD72|CDK5|CDK5R1|CFL1|CRMP1|DPYSL2|DPYSL3|DPYSL4|DPYSL5|ERBB2|FARP2|FES|FYN|GSK3B|HSP90AA1|HSP90AB1|ITGA1|ITGB1|LIMK1|LIMK2|MET|MYH10|MYH11|MYH14|MYH9|MYL12B|MYL6|MYL9|NRP1|PAK1|PAK2|PAK3|PIP5K1C|PLXNA1|PLXNA2|PLXNA3|PLXNA4|PLXNB1|PLXNB3|PLXNC1|PLXND1|PTPRC|RAC1|RHOA|RHOB|RHOC|RND1|ROCK1|ROCK2|RRAS|SEMA3A|SEMA3E|SEMA4A|SEMA4D|SEMA5A|SEMA6A|SEMA6D|SEMA7A|TLN1|TREM2|TYROBP	
2559582 [Cell Resp]	R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	Cell Resp	80	79	0.9875	ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|CCNA1|CCNA2|CDC16|CDC23|CDC26|CDC27|CDK2|CDK4|CDK6|CDKN1A|CDKN1B|CDKN2A|CDKN2B|CDKN2C|CDKN2D|CEBPB|CXCL8|EHMT1|EHMT2|FOS|FZR1|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|IGFBP7|IL1A|IL6|JUN|MAPK1|MAPK3|MAPK7|NFKB1|RELA|RPS27A|RPS6KA1|RPS6KA2|RPS6KA3|STAT3|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1	IL8
5693548 [DNA Repair]	R-HSA-5693548	Sensing of DNA Double Strand Breaks	DNA Repair	6	6	1	ATM|KAT5|KPNA2|MRE11|NBN|RAD50	
2467813 [Cell Cycl]	R-HSA-2467813	Separation of Sister Chromatids	Cell Cycl	171	168	0.982456140350877	AHCTF1|ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|AURKB|B9D2|BIRC5|BUB1|BUB1B|BUB3|CDC16|CDC20|CDC23|CDC26|CDC27|CDCA5|CDCA8|CENPA|CENPC|CENPE|CENPF|CENPH|CENPI|CENPK|CENPL|CENPM|CENPN|CENPO|CENPP|CENPQ|CENPT|CENPU|CKAP5|CLASP1|CLASP2|CLIP1|DSN1|DYNC1H1|DYNC1I1|DYNC1I2|DYNC1LI1|DYNC1LI2|DYNLL1|DYNLL2|ERCC6L|ESPL1|HDAC8|INCENP|ITGB3BP|KIF18A|KIF2A|KIF2C|KNL1|KNTC1|MAD1L1|MAD2L1|MAPRE1|MIS12|NDC80|NDE1|NDEL1|NSL1|NUDC|NUF2|NUP107|NUP133|NUP160|NUP37|NUP43|NUP85|NUP98|PAFAH1B1|PDS5A|PDS5B|PLK1|PMF1|PPP1CC|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTTG1|RAD21|RANBP2|RANGAP1|RCC2|RPS27|RPS27A|SEC13|SEH1L|SEM1|SGO1|SGO2|SKA1|SKA2|SMC1A|SMC3|SPC24|SPC25|SPDL1|STAG1|STAG2|TAOK1|UBA52|UBB|UBC|UBE2C|UBE2D1|UBE2E1|WAPL|XPO1|ZW10|ZWILCH|ZWINT	APITD1|KIF2B|PSMB11
977347 [Metab]	R-HSA-977347	Serine biosynthesis	Metab	9	9	1	PHGDH|PSAT1|PSPH|SERINC1|SERINC2|SERINC3|SERINC4|SERINC5|SRR	
181429 [Neur Sys]	R-HSA-181429	Serotonin Neurotransmitter Release Cycle	Neur Sys	18	18	1	CPLX1|PPFIA1|PPFIA2|PPFIA3|PPFIA4|RAB3A|RIMS1|SLC18A2|SNAP25|STX1A|STXBP1|SYN1|SYN2|SYN3|SYT1|TSPOAP1|UNC13B|VAMP2	
209931 [Metab]	R-HSA-209931	Serotonin and melatonin biosynthesis	Metab	5	4	0.8	AANAT|DDC|TPH1|TPH2	ASMT
380615 [Neur Sys]	R-HSA-380615	Serotonin clearance from the synaptic cleft	Neur Sys	3	3	1	ALDH2|MAOA|SLC6A4	
390666 [Sig Transd]	R-HSA-390666	Serotonin receptors	Sig Transd	12	9	0.75	HTR1B|HTR1D|HTR1F|HTR2A|HTR2B|HTR2C|HTR4|HTR6|HTR7	HTR1A|HTR1E|HTR5A
3282872 [Disease]	R-HSA-3282872	Severe congenital neutropenia type 4 (G6PC3)	Disease	1	1	1	G6PC3	
4085001 [Metab Prot]	R-HSA-4085001	Sialic acid metabolism	Metab Prot	33	32	0.96969696969697	CMAS|CTSA|GLB1|GNE|NANP|NANS|NEU1|NEU3|NEU4|NPL|SLC17A5|SLC35A1|ST3GAL1|ST3GAL2|ST3GAL3|ST3GAL4|ST3GAL5|ST3GAL6|ST6GAL1|ST6GAL2|ST6GALNAC1|ST6GALNAC2|ST6GALNAC3|ST6GALNAC4|ST6GALNAC5|ST6GALNAC6|ST8SIA1|ST8SIA2|ST8SIA3|ST8SIA4|ST8SIA5|ST8SIA6	NEU2
